"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Rick Porcello","Red Sox","17","7","4.28","33","33","1","0","0","0","0","191.1","808","177","97","91","27","48","0","16","3","1","190","2717"
"Luis Castillo","Reds","10","12","4.30","31","31","0","0","0","0","0","169.2","708","158","89","81","28","49","1","5","4","2","165","15689"
"Mike Leake","Mariners","10","10","4.36","31","31","0","0","0","0","0","185.2","784","207","98","90","23","34","3","6","2","0","119","10130"
"Jakob Junis","Royals","9","12","4.37","30","30","1","0","0","0","0","177.0","758","182","94","86","32","43","1","15","9","0","164","13619"
"Matthew Boyd","Tigers","9","13","4.39","31","31","0","0","0","0","0","170.1","709","146","87","83","27","51","0","11","6","2","159","15440"
"Andrew Suarez","Giants","7","13","4.49","29","29","0","0","0","0","0","160.1","665","163","85","80","23","45","1","3","4","0","130","18300"
"Jake Odorizzi","Twins","7","10","4.49","32","32","0","0","0","0","0","164.1","711","151","89","82","20","70","3","8","1","0","162","6397"
"James Shields","White Sox","7","15","4.50","33","33","0","0","0","0","0","204.0","865","188","114","102","34","76","0","9","11","1","154","7059"
"Tyler Anderson","Rockies","7","9","4.55","32","32","0","0","0","0","0","176.0","737","165","94","89","30","59","1","3","9","2","164","12880"
"Zack Godley","Diamondbacks","15","11","4.77","32","32","0","0","0","0","0","177.1","786","176","103","94","16","80","2","12","17","1","183","14862"
"Nick Pivetta","Phillies","6","14","4.80","32","32","0","0","0","0","0","163.0","690","163","91","87","24","50","0","5","8","0","187","15454"
"Jon Gray","Rockies","12","9","5.12","31","31","0","0","0","0","0","172.1","743","180","102","98","27","52","1","6","6","2","183","14916"
"Dylan Bundy","Orioles","8","16","5.45","31","31","1","0","0","0","0","171.2","750","188","116","104","41","54","1","6","6","1","184","12917"
"Lucas Giolito","White Sox","10","13","6.13","32","32","0","0","0","0","0","173.1","775","166","123","118","27","90","2","15","13","0","125","15474"
